date,advbw,bwhist
2011-12-02,16.357552,10.818752
2011-12-03,16.784598,10.182025
2011-12-04,16.604371,10.260154
2011-12-05,16.465413,10.082546
2011-12-06,16.016092,10.062014
2011-12-07,16.087250,9.750333
2011-12-08,15.888873,9.521095
2011-12-09,15.892715,9.912138
2011-12-10,16.241851,10.346698
2011-12-11,16.219852,10.248795
2011-12-12,16.195864,10.329567
2011-12-13,15.754914,9.942814
2011-12-14,15.912926,9.986850
2011-12-15,15.793676,10.256582
2011-12-16,16.133134,10.308500
2011-12-17,16.026434,10.125899
2011-12-18,15.599627,9.770627
2011-12-19,16.170214,10.177424
2011-12-20,16.869777,10.810212
2011-12-21,16.928257,10.563763
2011-12-22,17.412926,11.031873
2011-12-23,17.984850,11.305457
2011-12-24,18.199996,11.108834
2011-12-25,18.217722,11.059072
2011-12-26,18.106273,10.951637
2011-12-27,17.951299,10.960448
2011-12-28,18.033337,10.909109
2011-12-29,17.508280,10.786281
2011-12-30,17.091506,11.113425
2011-12-31,17.315998,10.844015
2012-01-01,17.680315,10.839848
2012-01-02,17.824809,11.177420
2012-01-03,17.901033,10.525499
2012-01-04,17.727738,10.947443
2012-01-05,17.734718,10.969816
2012-01-06,17.768310,11.040158
2012-01-07,18.063272,11.068638
2012-01-08,,10.676511
2012-01-09,18.435802,10.921798
2012-01-10,18.390517,11.096959
2012-01-11,18.227138,10.956469
2012-01-12,18.076574,11.017733
2012-01-13,18.049582,11.018433
2012-01-14,18.247418,11.353164
2012-01-15,18.414627,11.246567
2012-01-16,18.144085,11.229345
2012-01-17,18.205335,11.158501
2012-01-18,18.485452,11.209858
2012-01-19,18.598603,11.140864
2012-01-20,18.824272,11.505787
2012-01-21,18.954495,11.664250
2012-01-22,19.177802,11.725086
2012-01-23,19.076456,11.504430
2012-01-24,19.365942,11.826719
2012-01-25,19.434506,12.251732
2012-01-26,19.665803,12.505704
2012-01-27,19.853793,12.799210
2012-01-28,19.955112,12.847851
2012-01-29,19.682884,12.664774
2012-01-30,19.248534,12.298497
2012-01-31,18.833481,11.930809
2012-02-01,18.815205,12.099806
2012-02-02,19.095905,12.295442
2012-02-03,19.308607,12.613213
2012-02-04,19.903988,13.000515
2012-02-05,20.568837,13.190140
2012-02-06,20.704042,12.624194
2012-02-07,20.113260,12.657173
2012-02-08,20.107319,12.803906
2012-02-09,20.788017,12.792241
2012-02-10,20.448124,12.532477
2012-02-11,20.297565,12.880058
2012-02-12,20.326619,12.785714
2012-02-13,20.380045,12.720288
2012-02-14,20.176605,12.487160
2012-02-15,20.355711,12.398495
2012-02-16,20.510246,12.692701
2012-02-17,20.569119,12.840173
2012-02-18,20.523571,13.208559
2012-02-19,20.956354,13.019764
2012-02-20,20.891072,13.002635
2012-02-21,20.986147,13.162801
2012-02-22,21.199239,13.647738
2012-02-23,21.518501,13.525794
2012-02-24,21.220083,13.049148
2012-02-25,21.591495,13.725224
2012-02-26,21.957648,13.655113
2012-02-27,22.090465,13.605414
2012-02-28,21.447791,13.514331
2012-02-29,21.433150,13.352465
2012-03-01,21.522872,13.451871
2012-03-02,21.535329,13.158642
2012-03-03,21.372082,13.185598
2012-03-04,21.152860,13.557473
2012-03-05,21.192840,13.356804
2012-03-06,21.315543,13.389116
2012-03-07,21.129473,13.447696
2012-03-08,21.068914,13.524162
2012-03-09,20.578447,13.635664
2012-03-10,20.595101,13.165187
2012-03-11,20.738923,13.678576
2012-03-12,21.403061,13.807016
2012-03-13,21.126830,13.580619
2012-03-14,20.775640,13.235356
2012-03-15,20.503737,13.650238
2012-03-16,20.617201,13.703669
2012-03-17,20.831910,13.767285
2012-03-18,21.080268,13.715598
2012-03-19,20.769815,13.647250
2012-03-20,20.577854,13.300081
2012-03-21,20.548297,13.414924
2012-03-22,20.844797,13.651362
2012-03-23,21.261765,13.412544
2012-03-24,21.327380,13.894982
2012-03-25,21.189047,13.869999
